level_1,level_2,keywords
發展,自閉症,社會互動困難; 避免眼神接觸; 難以理解表情; 難以理解語言; 難以發起對話; 難以維持對話; 缺乏興趣; 難以形成友誼; 難以維持友誼; 重複行為; 感官敏感; 語言發展遲緩
發展,過動症,注意力難以集中; 衝動; 多動
發展,智能障礙,發展延遲; 學習新技能有困難; 解決問題有困難; 理解有困難; 計劃有困難; 難以適應新環境; 社交技能有困難; 無法自我照顧
思覺失調,思覺失調,妄想; 幻覺; 思維混亂; 行為混亂; 消極症狀; 情緒平淡; 缺乏動力
躁鬱,躁鬱症,躁狂和抑鬱交替出現
憂鬱,抑鬱症,情緒低落; 失去興趣; 對事物感到沒有樂趣; 疲勞; 食欲下降; 失眠; 嗜睡
焦慮,焦慮症,過度擔心; 過度緊張; 過度恐懼; 難以控制擔心; 心跳加速; 頭暈; 呼吸困難
強迫,強迫症,反復和持續的想法或衝動; 重複的行為
壓力,急性應激障礙,事件揮之不去; 迴避事件; 注意力不集中; 創傷事件後初期
壓力,創傷後應激障礙,事件揮之不去; 迴避事件; 注意力不集中; 睡眠困難
身體,身體化症,持續且痛苦; 無法用醫學解釋的症狀; 疼痛; 疲勞; 胃腸道問題
身體,慮病症,過度擔心患病; 常看醫生; 過度自我檢查; 因害怕生病而避免活動。
身體,身體畸形障礙,過度關注的輕微的外觀缺陷; 過度梳理毛髮; 過度摳皮膚; 尋求他人對自己身體缺陷的確認
飲食,厭食症,不吃東西; 對體重增加感到恐懼; 扭曲的身體形象; 極度消瘦; 瘋狂運動
飲食,暴食症,暴飲暴食; 自我誘導嘔吐; 濫用瀉藥; 濫用利尿劑; 過度運動; 扭曲的身體形象; 害怕發胖
醒覺,睡眠異常,難以入睡; 難以保持睡眠; 睡眠不足; 日常疲勞; 注意力難以集中; 易怒; 睡眠時呼吸中斷; 鼾聲大作
成癮,物質濫用,物質濫用; 物質依賴; 毒品成癮; 酒精成癮; 菸草成癮; 遊戲成癮
神經,失智症,記憶功能下降; 語言功能下降; 注意力功能下降; 解決問題能力功能下降; 迷失方向; 混亂行為; 性格改變
神經,譫妄症,急性混亂; 急性迷失方向; 激動; 警覺波動
人格,妄想型人格,對他人不信任; 對他人懷疑
人格,反社會人格,操控他人; 剝削他人權利; 侵犯他人權利
人格,邊緣型人格,人際關係不穩定; 情緒不穩定; 衝動行為
人格,戲劇化人格,過度尋求關注; 情緒化
人格,自戀型人格,誇張的自我優越感; 缺乏同情心
人格,迴避型人格,害怕被拒絕; 社交抑制; 迴避社交; 迴避職場
人格,依賴型人格,需要被照顧; 害怕孤獨; 害怕被拋棄
人格,強迫性人格,完美主義; 控制; 靈活性低
